"Anys_Periode","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nombre"
"2006-2010",1,"Ciutat Vella",1,"el Raval",1636
"2006-2010",1,"Ciutat Vella",2,"el Barri Gòtic",669
"2006-2010",1,"Ciutat Vella",3,"la Barceloneta",748
"2006-2010",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",823
"2006-2010",2,"Eixample",5,"el Fort Pienc",1204
"2006-2010",2,"Eixample",6,"la Sagrada Família",2215
"2006-2010",2,"Eixample",7,"la Dreta de l'Eixample",2357
"2006-2010",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",1881
"2006-2010",2,"Eixample",9,"la Nova Esquerra de l'Eixample",2267
"2006-2010",2,"Eixample",10,"Sant Antoni",1694
"2006-2010",3,"Sants-Montjuïc",11,"el Poble Sec",1547
"2006-2010",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",189
"2006-2010",3,"Sants-Montjuïc",13,"la Marina de Port",855
"2006-2010",3,"Sants-Montjuïc",14,"la Font de la Guatlla",369
"2006-2010",3,"Sants-Montjuïc",15,"Hostafrancs",625
"2006-2010",3,"Sants-Montjuïc",16,"la Bordeta",606
"2006-2010",3,"Sants-Montjuïc",17,"Sants - Badal",817
"2006-2010",3,"Sants-Montjuïc",18,"Sants",1591
"2006-2010",4,"Les Corts",19,"les Corts",1733
"2006-2010",4,"Les Corts",20,"la Maternitat i Sant Ramon",787
"2006-2010",4,"Les Corts",21,"Pedralbes",402
"2006-2010",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",192
"2006-2010",5,"Sarrià-Sant Gervasi",23,"Sarrià",844
"2006-2010",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",476
"2006-2010",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",1014
"2006-2010",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",1903
"2006-2010",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",974
"2006-2010",6,"Gràcia",28,"Vallcarca i els Penitents",622
"2006-2010",6,"Gràcia",29,"el Coll",226
"2006-2010",6,"Gràcia",30,"la Salut",607
"2006-2010",6,"Gràcia",31,"la Vila de Gràcia",2284
"2006-2010",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",1359
"2006-2010",7,"Horta-Guinardó",33,"el Baix Guinardó",998
"2006-2010",7,"Horta-Guinardó",34,"Can Baró",360
"2006-2010",7,"Horta-Guinardó",35,"el Guinardó",1380
"2006-2010",7,"Horta-Guinardó",36,"la Font d'en Fargues",386
"2006-2010",7,"Horta-Guinardó",37,"el Carmel",1065
"2006-2010",7,"Horta-Guinardó",38,"la Teixonera",405
"2006-2010",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",287
"2006-2010",7,"Horta-Guinardó",40,"Montbau",442
"2006-2010",7,"Horta-Guinardó",41,"la Vall d'Hebron",175
"2006-2010",7,"Horta-Guinardó",42,"la Clota",19
"2006-2010",7,"Horta-Guinardó",43,"Horta",1203
"2006-2010",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",1019
"2006-2010",8,"Nou Barris",45,"Porta",970
"2006-2010",8,"Nou Barris",46,"el Turó de la Peira",743
"2006-2010",8,"Nou Barris",47,"Can Peguera",130
"2006-2010",8,"Nou Barris",48,"la Guineueta",651
"2006-2010",8,"Nou Barris",49,"Canyelles",225
"2006-2010",8,"Nou Barris",50,"les Roquetes",523
"2006-2010",8,"Nou Barris",51,"Verdun",503
"2006-2010",8,"Nou Barris",52,"la Prosperitat",896
"2006-2010",8,"Nou Barris",53,"la Trinitat Nova",392
"2006-2010",8,"Nou Barris",54,"Torre Baró",92
"2006-2010",8,"Nou Barris",55,"Ciutat Meridiana",268
"2006-2010",8,"Nou Barris",56,"Vallbona",51
"2006-2010",9,"Sant Andreu",57,"la Trinitat Vella",247
"2006-2010",9,"Sant Andreu",58,"Baró de Viver",115
"2006-2010",9,"Sant Andreu",59,"el Bon Pastor",395
"2006-2010",9,"Sant Andreu",60,"Sant Andreu",1881
"2006-2010",9,"Sant Andreu",61,"la Sagrera",916
"2006-2010",9,"Sant Andreu",62,"el Congrés i els Indians",667
"2006-2010",9,"Sant Andreu",63,"Navas",776
"2006-2010",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",1417
"2006-2010",10,"Sant Martí",65,"el Clot",849
"2006-2010",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",464
"2006-2010",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",123
"2006-2010",10,"Sant Martí",68,"el Poblenou",1115
"2006-2010",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",267
"2006-2010",10,"Sant Martí",70,"el Besòs i el Maresme",853
"2006-2010",10,"Sant Martí",71,"Provençals del Poblenou",630
"2006-2010",10,"Sant Martí",72,"Sant Martí de Provençals",1098
"2006-2010",10,"Sant Martí",73,"la Verneda i la Pau",1163
"2006-2010",99,"No consta",99,"No consta",16505
"2007-2011",1,"Ciutat Vella",1,"el Raval",2000
"2007-2011",1,"Ciutat Vella",2,"el Barri Gòtic",836
"2007-2011",1,"Ciutat Vella",3,"la Barceloneta",925
"2007-2011",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",1019
"2007-2011",2,"Eixample",5,"el Fort Pienc",1499
"2007-2011",2,"Eixample",6,"la Sagrada Família",2765
"2007-2011",2,"Eixample",7,"la Dreta de l'Eixample",2896
"2007-2011",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",2323
"2007-2011",2,"Eixample",9,"la Nova Esquerra de l'Eixample",2806
"2007-2011",2,"Eixample",10,"Sant Antoni",2100
"2007-2011",3,"Sants-Montjuïc",11,"el Poble Sec",1912
"2007-2011",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",207
"2007-2011",3,"Sants-Montjuïc",13,"la Marina de Port",1092
"2007-2011",3,"Sants-Montjuïc",14,"la Font de la Guatlla",494
"2007-2011",3,"Sants-Montjuïc",15,"Hostafrancs",776
"2007-2011",3,"Sants-Montjuïc",16,"la Bordeta",777
"2007-2011",3,"Sants-Montjuïc",17,"Sants - Badal",1013
"2007-2011",3,"Sants-Montjuïc",18,"Sants",2009
"2007-2011",4,"Les Corts",19,"les Corts",2154
"2007-2011",4,"Les Corts",20,"la Maternitat i Sant Ramon",974
"2007-2011",4,"Les Corts",21,"Pedralbes",494
"2007-2011",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",235
"2007-2011",5,"Sarrià-Sant Gervasi",23,"Sarrià",1114
"2007-2011",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",580
"2007-2011",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",1264
"2007-2011",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",2363
"2007-2011",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",1214
"2007-2011",6,"Gràcia",28,"Vallcarca i els Penitents",777
"2007-2011",6,"Gràcia",29,"el Coll",270
"2007-2011",6,"Gràcia",30,"la Salut",739
"2007-2011",6,"Gràcia",31,"la Vila de Gràcia",2813
"2007-2011",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",1680
"2007-2011",7,"Horta-Guinardó",33,"el Baix Guinardó",1312
"2007-2011",7,"Horta-Guinardó",34,"Can Baró",440
"2007-2011",7,"Horta-Guinardó",35,"el Guinardó",1731
"2007-2011",7,"Horta-Guinardó",36,"la Font d'en Fargues",470
"2007-2011",7,"Horta-Guinardó",37,"el Carmel",1296
"2007-2011",7,"Horta-Guinardó",38,"la Teixonera",500
"2007-2011",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",357
"2007-2011",7,"Horta-Guinardó",40,"Montbau",547
"2007-2011",7,"Horta-Guinardó",41,"la Vall d'Hebron",227
"2007-2011",7,"Horta-Guinardó",42,"la Clota",25
"2007-2011",7,"Horta-Guinardó",43,"Horta",1500
"2007-2011",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",1308
"2007-2011",8,"Nou Barris",45,"Porta",1186
"2007-2011",8,"Nou Barris",46,"el Turó de la Peira",926
"2007-2011",8,"Nou Barris",47,"Can Peguera",153
"2007-2011",8,"Nou Barris",48,"la Guineueta",824
"2007-2011",8,"Nou Barris",49,"Canyelles",294
"2007-2011",8,"Nou Barris",50,"les Roquetes",654
"2007-2011",8,"Nou Barris",51,"Verdun",607
"2007-2011",8,"Nou Barris",52,"la Prosperitat",1135
"2007-2011",8,"Nou Barris",53,"la Trinitat Nova",492
"2007-2011",8,"Nou Barris",54,"Torre Baró",112
"2007-2011",8,"Nou Barris",55,"Ciutat Meridiana",335
"2007-2011",8,"Nou Barris",56,"Vallbona",69
"2007-2011",9,"Sant Andreu",57,"la Trinitat Vella",298
"2007-2011",9,"Sant Andreu",58,"Baró de Viver",136
"2007-2011",9,"Sant Andreu",59,"el Bon Pastor",488
"2007-2011",9,"Sant Andreu",60,"Sant Andreu",2328
"2007-2011",9,"Sant Andreu",61,"la Sagrera",1149
"2007-2011",9,"Sant Andreu",62,"el Congrés i els Indians",827
"2007-2011",9,"Sant Andreu",63,"Navas",967
"2007-2011",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",1779
"2007-2011",10,"Sant Martí",65,"el Clot",1019
"2007-2011",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",581
"2007-2011",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",164
"2007-2011",10,"Sant Martí",68,"el Poblenou",1438
"2007-2011",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",320
"2007-2011",10,"Sant Martí",70,"el Besòs i el Maresme",1030
"2007-2011",10,"Sant Martí",71,"Provençals del Poblenou",752
"2007-2011",10,"Sant Martí",72,"Sant Martí de Provençals",1387
"2007-2011",10,"Sant Martí",73,"la Verneda i la Pau",1432
"2007-2011",99,"No consta",99,"No consta",1022
"2008-2012",1,"Ciutat Vella",1,"el Raval",1949
"2008-2012",1,"Ciutat Vella",2,"el Barri Gòtic",796
"2008-2012",1,"Ciutat Vella",3,"la Barceloneta",922
"2008-2012",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",1011
"2008-2012",2,"Eixample",5,"el Fort Pienc",1513
"2008-2012",2,"Eixample",6,"la Sagrada Família",2736
"2008-2012",2,"Eixample",7,"la Dreta de l'Eixample",2812
"2008-2012",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",2326
"2008-2012",2,"Eixample",9,"la Nova Esquerra de l'Eixample",2841
"2008-2012",2,"Eixample",10,"Sant Antoni",2118
"2008-2012",3,"Sants-Montjuïc",11,"el Poble Sec",1869
"2008-2012",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",148
"2008-2012",3,"Sants-Montjuïc",13,"la Marina de Port",1152
"2008-2012",3,"Sants-Montjuïc",14,"la Font de la Guatlla",513
"2008-2012",3,"Sants-Montjuïc",15,"Hostafrancs",758
"2008-2012",3,"Sants-Montjuïc",16,"la Bordeta",806
"2008-2012",3,"Sants-Montjuïc",17,"Sants - Badal",1020
"2008-2012",3,"Sants-Montjuïc",18,"Sants",2005
"2008-2012",4,"Les Corts",19,"les Corts",2162
"2008-2012",4,"Les Corts",20,"la Maternitat i Sant Ramon",973
"2008-2012",4,"Les Corts",21,"Pedralbes",510
"2008-2012",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",245
"2008-2012",5,"Sarrià-Sant Gervasi",23,"Sarrià",1166
"2008-2012",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",586
"2008-2012",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",1292
"2008-2012",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",2369
"2008-2012",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",1218
"2008-2012",6,"Gràcia",28,"Vallcarca i els Penitents",773
"2008-2012",6,"Gràcia",29,"el Coll",262
"2008-2012",6,"Gràcia",30,"la Salut",727
"2008-2012",6,"Gràcia",31,"la Vila de Gràcia",2755
"2008-2012",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",1680
"2008-2012",7,"Horta-Guinardó",33,"el Baix Guinardó",1391
"2008-2012",7,"Horta-Guinardó",34,"Can Baró",429
"2008-2012",7,"Horta-Guinardó",35,"el Guinardó",1704
"2008-2012",7,"Horta-Guinardó",36,"la Font d'en Fargues",478
"2008-2012",7,"Horta-Guinardó",37,"el Carmel",1276
"2008-2012",7,"Horta-Guinardó",38,"la Teixonera",507
"2008-2012",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",363
"2008-2012",7,"Horta-Guinardó",40,"Montbau",567
"2008-2012",7,"Horta-Guinardó",41,"la Vall d'Hebron",242
"2008-2012",7,"Horta-Guinardó",42,"la Clota",28
"2008-2012",7,"Horta-Guinardó",43,"Horta",1489
"2008-2012",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",1327
"2008-2012",8,"Nou Barris",45,"Porta",1181
"2008-2012",8,"Nou Barris",46,"el Turó de la Peira",938
"2008-2012",8,"Nou Barris",47,"Can Peguera",153
"2008-2012",8,"Nou Barris",48,"la Guineueta",837
"2008-2012",8,"Nou Barris",49,"Canyelles",297
"2008-2012",8,"Nou Barris",50,"les Roquetes",658
"2008-2012",8,"Nou Barris",51,"Verdun",604
"2008-2012",8,"Nou Barris",52,"la Prosperitat",1146
"2008-2012",8,"Nou Barris",53,"la Trinitat Nova",509
"2008-2012",8,"Nou Barris",54,"Torre Baró",121
"2008-2012",8,"Nou Barris",55,"Ciutat Meridiana",333
"2008-2012",8,"Nou Barris",56,"Vallbona",79
"2008-2012",9,"Sant Andreu",57,"la Trinitat Vella",291
"2008-2012",9,"Sant Andreu",58,"Baró de Viver",122
"2008-2012",9,"Sant Andreu",59,"el Bon Pastor",504
"2008-2012",9,"Sant Andreu",60,"Sant Andreu",2304
"2008-2012",9,"Sant Andreu",61,"la Sagrera",1163
"2008-2012",9,"Sant Andreu",62,"el Congrés i els Indians",809
"2008-2012",9,"Sant Andreu",63,"Navas",975
"2008-2012",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",1735
"2008-2012",10,"Sant Martí",65,"el Clot",1012
"2008-2012",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",582
"2008-2012",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",164
"2008-2012",10,"Sant Martí",68,"el Poblenou",1440
"2008-2012",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",329
"2008-2012",10,"Sant Martí",70,"el Besòs i el Maresme",1054
"2008-2012",10,"Sant Martí",71,"Provençals del Poblenou",757
"2008-2012",10,"Sant Martí",72,"Sant Martí de Provençals",1389
"2008-2012",10,"Sant Martí",73,"la Verneda i la Pau",1474
"2008-2012",99,"No consta",99,"No consta",972
"2009-2013",1,"Ciutat Vella",1,"el Raval",1892
"2009-2013",1,"Ciutat Vella",2,"el Barri Gòtic",767
"2009-2013",1,"Ciutat Vella",3,"la Barceloneta",899
"2009-2013",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",971
"2009-2013",2,"Eixample",5,"el Fort Pienc",1531
"2009-2013",2,"Eixample",6,"la Sagrada Família",2732
"2009-2013",2,"Eixample",7,"la Dreta de l'Eixample",2770
"2009-2013",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",2323
"2009-2013",2,"Eixample",9,"la Nova Esquerra de l'Eixample",2757
"2009-2013",2,"Eixample",10,"Sant Antoni",2061
"2009-2013",3,"Sants-Montjuïc",11,"el Poble Sec",1813
"2009-2013",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",148
"2009-2013",3,"Sants-Montjuïc",13,"la Marina de Port",1171
"2009-2013",3,"Sants-Montjuïc",14,"la Font de la Guatlla",544
"2009-2013",3,"Sants-Montjuïc",15,"Hostafrancs",771
"2009-2013",3,"Sants-Montjuïc",16,"la Bordeta",818
"2009-2013",3,"Sants-Montjuïc",17,"Sants - Badal",1007
"2009-2013",3,"Sants-Montjuïc",18,"Sants",2035
"2009-2013",4,"Les Corts",19,"les Corts",2109
"2009-2013",4,"Les Corts",20,"la Maternitat i Sant Ramon",957
"2009-2013",4,"Les Corts",21,"Pedralbes",490
"2009-2013",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",232
"2009-2013",5,"Sarrià-Sant Gervasi",23,"Sarrià",1181
"2009-2013",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",588
"2009-2013",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",1261
"2009-2013",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",2351
"2009-2013",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",1228
"2009-2013",6,"Gràcia",28,"Vallcarca i els Penitents",791
"2009-2013",6,"Gràcia",29,"el Coll",255
"2009-2013",6,"Gràcia",30,"la Salut",725
"2009-2013",6,"Gràcia",31,"la Vila de Gràcia",2704
"2009-2013",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",1694
"2009-2013",7,"Horta-Guinardó",33,"el Baix Guinardó",1450
"2009-2013",7,"Horta-Guinardó",34,"Can Baró",427
"2009-2013",7,"Horta-Guinardó",35,"el Guinardó",1697
"2009-2013",7,"Horta-Guinardó",36,"la Font d'en Fargues",491
"2009-2013",7,"Horta-Guinardó",37,"el Carmel",1265
"2009-2013",7,"Horta-Guinardó",38,"la Teixonera",489
"2009-2013",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",381
"2009-2013",7,"Horta-Guinardó",40,"Montbau",582
"2009-2013",7,"Horta-Guinardó",41,"la Vall d'Hebron",256
"2009-2013",7,"Horta-Guinardó",42,"la Clota",30
"2009-2013",7,"Horta-Guinardó",43,"Horta",1531
"2009-2013",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",1376
"2009-2013",8,"Nou Barris",45,"Porta",1160
"2009-2013",8,"Nou Barris",46,"el Turó de la Peira",893
"2009-2013",8,"Nou Barris",47,"Can Peguera",143
"2009-2013",8,"Nou Barris",48,"la Guineueta",834
"2009-2013",8,"Nou Barris",49,"Canyelles",301
"2009-2013",8,"Nou Barris",50,"les Roquetes",638
"2009-2013",8,"Nou Barris",51,"Verdun",609
"2009-2013",8,"Nou Barris",52,"la Prosperitat",1150
"2009-2013",8,"Nou Barris",53,"la Trinitat Nova",509
"2009-2013",8,"Nou Barris",54,"Torre Baró",118
"2009-2013",8,"Nou Barris",55,"Ciutat Meridiana",314
"2009-2013",8,"Nou Barris",56,"Vallbona",89
"2009-2013",9,"Sant Andreu",57,"la Trinitat Vella",285
"2009-2013",9,"Sant Andreu",58,"Baró de Viver",118
"2009-2013",9,"Sant Andreu",59,"el Bon Pastor",507
"2009-2013",9,"Sant Andreu",60,"Sant Andreu",2318
"2009-2013",9,"Sant Andreu",61,"la Sagrera",1176
"2009-2013",9,"Sant Andreu",62,"el Congrés i els Indians",787
"2009-2013",9,"Sant Andreu",63,"Navas",931
"2009-2013",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",1739
"2009-2013",10,"Sant Martí",65,"el Clot",1010
"2009-2013",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",588
"2009-2013",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",161
"2009-2013",10,"Sant Martí",68,"el Poblenou",1386
"2009-2013",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",324
"2009-2013",10,"Sant Martí",70,"el Besòs i el Maresme",1052
"2009-2013",10,"Sant Martí",71,"Provençals del Poblenou",752
"2009-2013",10,"Sant Martí",72,"Sant Martí de Provençals",1374
"2009-2013",10,"Sant Martí",73,"la Verneda i la Pau",1462
"2009-2013",99,"No consta",99,"No consta",851
"2010-2014",1,"Ciutat Vella",1,"el Raval",1823
"2010-2014",1,"Ciutat Vella",2,"el Barri Gòtic",734
"2010-2014",1,"Ciutat Vella",3,"la Barceloneta",918
"2010-2014",1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",980
"2010-2014",2,"Eixample",5,"el Fort Pienc",1539
"2010-2014",2,"Eixample",6,"la Sagrada Família",2728
"2010-2014",2,"Eixample",7,"la Dreta de l'Eixample",2753
"2010-2014",2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",2266
"2010-2014",2,"Eixample",9,"la Nova Esquerra de l'Eixample",2688
"2010-2014",2,"Eixample",10,"Sant Antoni",2045
"2010-2014",3,"Sants-Montjuïc",11,"el Poble Sec",1795
"2010-2014",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell",90
"2010-2014",3,"Sants-Montjuïc",13,"la Marina de Port",1229
"2010-2014",3,"Sants-Montjuïc",14,"la Font de la Guatlla",603
"2010-2014",3,"Sants-Montjuïc",15,"Hostafrancs",709
"2010-2014",3,"Sants-Montjuïc",16,"la Bordeta",816
"2010-2014",3,"Sants-Montjuïc",17,"Sants - Badal",976
"2010-2014",3,"Sants-Montjuïc",18,"Sants",2001
"2010-2014",4,"Les Corts",19,"les Corts",2132
"2010-2014",4,"Les Corts",20,"la Maternitat i Sant Ramon",958
"2010-2014",4,"Les Corts",21,"Pedralbes",522
"2010-2014",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",218
"2010-2014",5,"Sarrià-Sant Gervasi",23,"Sarrià",1192
"2010-2014",5,"Sarrià-Sant Gervasi",24,"les Tres Torres",595
"2010-2014",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",1242
"2010-2014",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany",2356
"2010-2014",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró",1226
"2010-2014",6,"Gràcia",28,"Vallcarca i els Penitents",768
"2010-2014",6,"Gràcia",29,"el Coll",255
"2010-2014",6,"Gràcia",30,"la Salut",725
"2010-2014",6,"Gràcia",31,"la Vila de Gràcia",2599
"2010-2014",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",1713
"2010-2014",7,"Horta-Guinardó",33,"el Baix Guinardó",1490
"2010-2014",7,"Horta-Guinardó",34,"Can Baró",428
"2010-2014",7,"Horta-Guinardó",35,"el Guinardó",1671
"2010-2014",7,"Horta-Guinardó",36,"la Font d'en Fargues",475
"2010-2014",7,"Horta-Guinardó",37,"el Carmel",1243
"2010-2014",7,"Horta-Guinardó",38,"la Teixonera",480
"2010-2014",7,"Horta-Guinardó",39,"Sant Genís dels Agudells",393
"2010-2014",7,"Horta-Guinardó",40,"Montbau",563
"2010-2014",7,"Horta-Guinardó",41,"la Vall d'Hebron",267
"2010-2014",7,"Horta-Guinardó",42,"la Clota",32
"2010-2014",7,"Horta-Guinardó",43,"Horta",1456
"2010-2014",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",1387
"2010-2014",8,"Nou Barris",45,"Porta",1159
"2010-2014",8,"Nou Barris",46,"el Turó de la Peira",871
"2010-2014",8,"Nou Barris",47,"Can Peguera",136
"2010-2014",8,"Nou Barris",48,"la Guineueta",809
"2010-2014",8,"Nou Barris",49,"Canyelles",308
"2010-2014",8,"Nou Barris",50,"les Roquetes",620
"2010-2014",8,"Nou Barris",51,"Verdun",571
"2010-2014",8,"Nou Barris",52,"la Prosperitat",1123
"2010-2014",8,"Nou Barris",53,"la Trinitat Nova",497
"2010-2014",8,"Nou Barris",54,"Torre Baró",106
"2010-2014",8,"Nou Barris",55,"Ciutat Meridiana",307
"2010-2014",8,"Nou Barris",56,"Vallbona",100
"2010-2014",9,"Sant Andreu",57,"la Trinitat Vella",269
"2010-2014",9,"Sant Andreu",58,"Baró de Viver",107
"2010-2014",9,"Sant Andreu",59,"el Bon Pastor",517
"2010-2014",9,"Sant Andreu",60,"Sant Andreu",2225
"2010-2014",9,"Sant Andreu",61,"la Sagrera",1165
"2010-2014",9,"Sant Andreu",62,"el Congrés i els Indians",784
"2010-2014",9,"Sant Andreu",63,"Navas",910
"2010-2014",10,"Sant Martí",64,"el Camp de l'Arpa del Clot",1735
"2010-2014",10,"Sant Martí",65,"el Clot",988
"2010-2014",10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",623
"2010-2014",10,"Sant Martí",67,"la Vila Olímpica del Poblenou",171
"2010-2014",10,"Sant Martí",68,"el Poblenou",1380
"2010-2014",10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou",324
"2010-2014",10,"Sant Martí",70,"el Besòs i el Maresme",1035
"2010-2014",10,"Sant Martí",71,"Provençals del Poblenou",696
"2010-2014",10,"Sant Martí",72,"Sant Martí de Provençals",1341
"2010-2014",10,"Sant Martí",73,"la Verneda i la Pau",1453
